speechiness,loudness,danceability,energy,acousticness,target
691,-6834,966,4500,3540000,3
890,-7778,560,6200,36000000,3
3500,-7968,883,6220,2660000,3
2990,-8631,943,5280,291000,3
1090,-3161,615,8200,26600000,3
4970,-10288,579,6680,34500000,3
3890,-8254,852,5540,8150000,3
2560,-6855,943,5370,34200000,3
3030,-6060,885,5920,94000,3
649,-6163,794,6320,14200000,3
2990,-7439,720,3710,54800000,3
2990,-3507,763,7700,8580000,3
461,-6208,725,6290,17200000,3
362,-5042,743,7100,1390000,3
589,-9545,410,6020,40700000,3
3110,-9295,887,6090,2120000,3
8620,-17369,565,2480,97700000,3
4800,-5542,860,7170,41400000,3
3210,-4550,453,9100,236000,3
1890,-7593,773,4480,18800000,3
2410,-4821,748,9100,24600000,3
3780,-10588,831,3800,54100,3
3870,-1765,634,9420,29100000,3
356,-7061,644,4460,49000000,3
795,-6824,717,6500,23200000,3
3080,-7080,734,4470,21900,3
2460,-8633,613,6100,21100000,3
2780,-7832,748,6930,28200000,3
562,-4226,720,8630,1740000,3
2590,-7158,853,7540,33500000,3
5120,-8640,871,5410,16900000,3
778,-8864,878,4410,10300000,3
3520,-11691,837,4970,12500000,3
657,-6032,669,6290,4850000,3
2490,-5891,859,6170,79200000,3
2650,-6953,825,7260,24100000,3
3110,-10289,820,4320,35200000,3
4110,-8385,781,4790,2490000,3
2200,-6343,666,7300,696000,3
2660,-8233,553,6110,31000000,3
2860,-4053,477,7270,86600,3
3320,-7905,725,6400,2810000,3
341,-6747,258,4460,61200000,3
1660,-9238,570,4390,33100000,3
2860,-6349,578,4490,6180000,3
3970,-7686,912,6080,4580000,3
3200,-5658,914,6070,6260000,3
2140,-8317,779,6330,3380000,3
4240,-6674,968,5180,92700,3
1840,-9924,659,5890,40900000,3
1440,-7488,855,7080,26700000,3
882,-8339,561,5980,39500000,3
2760,-6207,564,8290,31000000,3
1760,-8604,813,5930,46600000,3
2240,-3965,928,7490,4250000,3
1870,-10297,551,4380,24300000,3
857,-3829,957,7370,7430000,3
