speechiness,loudness,danceability,target
6.42,-7.084,46.7,7
3.76,-10.964,49.1,7
3.47,-4.612,61,7
5.61,-4.717,50.5,7
10.9,-8.414,69.1,7
3.38,-7.226,31,7
4.79,-3.91,40.3,7
2.9,-10.057,30.7,7
9.44,-6.9,76.1,7
7.91,-8.777,33.7,7
3.29,-9.205,61.7,7
5.89,-9.267,63.6,7
4.35,-2.512,45.2,7
8.06,-4.228,52,7
3.39,-8.161,40.7,7
15.1,-1.641,44.7,7
5.88,-4.742,55,7
2.94,-9.205,48.6,7
11,-6.291,22.6,7
7.42,-6.87,56.6,7
3.17,-12.875,62.3,7
6.48,-3.816,38.5,7
3.08,-6.781,54.9,7
4.63,-3.179,36.1,7
4.58,-16.557,40.5,7
4.41,-3.801,35.2,7
4.73,-4.73,56.4,7
5.78,-9.329,63.2,7
11.9,-7.316,69.2,7
3.2,-7.759,45.2,7
5.22,-5.173,51.1,7
6.63,-3.603,53,7
3.67,-5.541,41.3,7
8.86,-7.049,20,7
3.71,-8.111,66.5,7
4.43,-9.064,62,7
12.1,-13.643,34.9,7
6.94,-5.262,49.3,7
5.63,-5.201,39,7
5.8,-6.167,33.1,7
11.4,-3.79,66,7
4.02,-8.046,24,7
3.44,-7.227,46.2,7
2.49,-7.524,55.8,7
3.17,-8.113,62.1,7
9.13,-4.243,52.8,7
2.92,-6.162,47.7,7
5.4,-3.132,42.6,7
12.6,-7.399,47.8,7
2.69,-8.824,63,7
13.5,-8.77,32.9,7
2.95,-5.782,58.4,7
3.78,-3.1,67.1,7
6.13,-8.123,72.1,7
5.09,-6.846,13.6,7
2.58,-9.129,36,7
3.52,-8.574,63.4,7
5.52,-5.964,39.1,7
17.2,-4.208,25.8,7
4.48,-7.766,45.4,7
6.38,-5.996,26.6,7
3.76,-8.8,39.1,7
3.44,-4.267,59.3,7
17.6,-2.492,50.3,7
3.09,-14.097,66.2,7
6.6,-3.162,46,7
3.72,-7.242,61.8,7
12,-6.24,48,7
7.13,-5.563,47.1,7
2.78,-4.261,53.7,7
3.04,-13.458,55.3,7
2.63,-5.429,61.3,7
4.75,-4.537,65.8,7
2.82,-7.452,60.7,7
3.63,-3.537,47.3,7
4.37,-3.085,52.8,7
3.77,-19.37,64.5,7
5.35,-13.953,71.7,7
5.17,-6.912,84.2,7
3.24,-4.212,45.3,7
3.76,-6.415,55,7
20.6,-3.213,32.4,7
6.06,-5.197,62.4,7
3.93,-6.944,57.7,7
3.01,-4.878,44.9,7
9.26,-4.21,31.8,7
6.53,-10,45.6,7
4.28,-6.906,39.9,7
7.07,-5.319,40.7,7
2.92,-13.685,73.3,7
3,-4.836,55.1,7
3.27,-5.869,59.8,7
3.7,-11.285,38.2,7
4.65,-7.154,59.2,7
2.68,-8.847,51.1,7
7.73,-4.182,35.9,7
4.23,-10.503,34.1,7
2.72,-4.562,60.2,7
3.91,-3.976,25.2,7
4.81,-6.317,61.2,7
5.33,-4.542,30.8,7
4.73,-6.525,73,7
4.53,-7.565,35.5,7
4.4,-7.539,42.9,7
12.5,-3.314,46.6,7
3.31,-7.294,35.8,7
2.8,-14.344,38.1,7
4.47,-14.686,58.1,7
3.76,-10.964,49.1,7
5.69,-4.966,50.5,7
3.29,-8.652,33.9,7
13.5,-8.77,32.9,7
3.85,-3.255,54.5,7
6.01,-6.387,59.9,7
6.48,-3.816,38.5,7
6.32,-8.671,26.2,7
7.98,-5.344,31.3,7
26.7,-4.172,32.1,7
4.32,-5.356,27.6,7
3.29,-6.731,38.1,7
2.48,-7.714,56.6,7
7.23,-9.415,31,7
2.95,-9.113,37.9,7
2.83,-8.799,54,7
5.91,-9.138,42.6,7
8.77,-9.005,60.9,7
3.41,-10.158,47.8,7
6.47,-6.422,61.5,7
10.7,-4.688,44.2,7
