speechiness,loudness,danceability,energy,,target,
266,-8033,556,528,,7,528000
368,-6116,253,565,,7,565000
463,-5638,332,899,,7,899000
448,-19068,588,248,,7,248000
292,-10946,659,300,,7,300000
385,-3374,392,884,,7,884000
1060,-9793,268,692,,7,692000
1710,-2855,266,946,,7,946000
484,-5066,587,872,,7,872000
293,-7424,513,637,,7,637000
291,-9316,294,641,,7,641000
566,-11231,830,382,,7,382000
1140,-2481,251,962,,7,962000
734,-5572,534,705,,7,705000
369,-8793,392,534,,7,534000
436,-13126,451,364,,7,364000
409,-11717,512,687,,7,687000
832,-8937,483,753,,7,753000
394,-8928,319,803,,7,803000
577,-5578,397,808,,7,808000
324,-5787,413,725,,7,725000
296,-10059,384,561,,7,561000
749,-6194,865,614,,7,614000
953,-4244,516,957,,7,957000
575,-4367,498,949,,7,949000
815,-4522,486,684,,7,684000
263,-11218,553,362,,7,362000
1280,-7853,297,913,,7,913000
317,-4492,577,853,,7,853000
701,-5387,404,924,,7,924000
579,-3445,357,890,,7,890000
2130,-6927,914,672,,7,672000
339,-8957,307,635,,7,635000
286,-5708,545,865,,7,865000
281,-7227,429,661,,7,661000
586,-4831,172,904,,7,904000
668,-9069,522,817,,7,817000
709,-6562,381,838,,7,838000
687,-7179,513,690,,7,690000
757,-4765,450,945,,7,945000
378,-5576,471,877,,7,877000
360,-4419,500,834,,7,834000
321,-5611,442,576,,7,576000
437,-5451,526,667,,7,667000
680,-7837,356,872,,7,872000
436,-4161,475,793,,7,793000
290,-13167,765,533,,7,533000
428,-10944,692,112,,7,112000
307,-10422,367,452,,7,452000
385,-11821,427,626,,7,626000
376,-6946,569,753,,7,753000
528,-10456,482,847,,7,847000
421,-12472,556,297,,7,297000
246,-4786,643,810,,7,810000
605,-5166,547,922,,7,922000
600,-4365,431,840,,7,840000
266,-6042,572,735,,7,735000
875,-4130,308,916,,7,916000
438,-10259,295,681,,7,681000
623,-3499,304,933,,7,933000
1610,-6958,568,632,,7,632000
298,-10296,456,344,,7,344000
565,-4714,566,829,,7,829000
481,-6317,612,761,,7,761000
509,-5110,320,887,,7,887000
459,-13496,559,345,,7,345000
1750,-4616,671,797,,7,797000
1860,-4316,522,996,,7,996000
767,-3129,433,970,,7,970000
582,-5301,676,674,,7,674000
539,-2122,627,819,,7,819000
1320,-5333,491,942,,7,942000
3000,-6473,678,662,,7,662000
554,-3070,536,873,,7,873000
1330,-4957,397,966,,7,966000
399,-5416,593,697,,7,697000
262,-4642,633,842,,7,842000
636,-4314,315,826,,7,826000
387,-6440,718,691,,7,691000
659,-4724,505,948,,7,948000
413,-14726,511,188,,7,188000
315,-10554,425,291,,7,291000
610,-3838,562,912,,7,912000
670,-5511,685,697,,7,697000
636,-8215,130,982,,7,982000
926,-2720,406,988,,7,988000
405,-12029,449,775,,7,775000
392,-4495,460,858,,7,858000
1170,-3173,325,903,,7,903000
441,-5510,485,832,,7,832000
476,-7967,755,820,,7,820000
314,-4142,271,503,,7,503000
339,-6199,467,563,,7,563000
302,-5655,470,623,,7,623000
496,-5655,302,686,,7,686000
1180,-3003,576,940,,7,940000
909,-3622,419,971,,7,971000
428,-10357,337,418,,7,418000
610,-6399,669,543,,7,543000
377,-3695,436,897,,7,897000
387,-6611,405,621,,7,621000
794,-6490,222,837,,7,837000
560,-8271,280,635,,7,635000
459,-2699,530,949,,7,949000
332,-4448,489,835,,7,835000
481,-11155,426,880,,7,880000
293,-7719,619,608,,7,608000
278,-5305,619,726,,7,726000
292,-11068,547,445,,7,445000
349,-13528,214,328,,7,328000
1770,-9236,209,898,,7,898000
739,-4326,486,891,,7,891000
361,-4309,492,762,,7,762000
290,-4649,472,671,,7,671000
258,-9129,360,501,,7,501000
682,-10213,640,453,,7,453000
310,-9302,504,578,,7,578000
268,-14426,514,267,,7,267000
319,-10160,724,550,,7,550000
540,-5746,662,774,,7,774000
264,-10133,614,474,,7,474000
597,-3547,609,717,,7,717000
374,-14617,494,552,,7,552000
426,-5404,429,854,,7,854000
632,-13289,338,660,,7,660000
356,-4369,461,906,,7,906000
324,-11264,490,392,,7,392000
723,-6693,442,937,,7,937000
329,-14196,642,355,,7,355000
401,-4437,493,606,,7,606000
347,-6221,420,690,,7,690000
392,-7150,318,646,,7,646000
386,-9907,483,603,,7,603000
356,-9321,674,649,,7,649000
441,-3801,352,571,,7,571000
362,-6581,401,854,,7,854000
308,-9987,385,339,,7,339000
292,-8794,615,755,,7,755000
304,-15035,519,284,,7,284000
369,-5139,310,832,,7,832000
301,-5425,575,666,,7,666000
481,-4199,417,849,,7,849000
467,-4092,641,801,,7,801000
985,-7644,382,909,,7,909000
695,-4822,476,917,,7,917000
369,-8793,392,534,,7,534000
326,-13664,310,403,,7,403000
363,-11810,552,827,,7,827000
658,-3635,187,938,,7,938000
891,-4019,475,956,,7,956000
270,-7369,570,648,,7,648000
832,-2769,378,986,,7,986000
365,-7390,468,839,,7,839000
418,-9799,359,854,,7,854000
373,-13741,516,549,,7,549000
399,-6475,582,817,,7,817000
326,-4957,659,931,,7,931000
263,-7127,590,720,,7,720000
440,-3980,736,778,,7,778000
870,-4197,252,884,,7,884000
258,-8451,531,576,,7,576000
762,-4745,648,936,,7,936000
946,-3876,502,966,,7,966000
376,-5870,377,746,,7,746000
450,-5671,704,749,,7,749000
325,-11479,443,430,,7,430000
686,-3348,521,855,,7,855000
604,-4056,410,942,,7,942000
264,-11248,318,363,,7,363000
716,-6777,700,742,,7,742000
474,-5351,379,830,,7,830000
338,-10688,393,254,,7,254000
288,-5761,611,556,,7,556000
289,-6318,660,567,,7,567000
304,-16336,653,377,,7,377000
345,-9698,778,719,,7,719000
702,-5531,226,891,,7,891000
423,-6480,503,685,,7,685000
402,-8917,738,482,,7,482000
744,-4845,654,875,,7,875000
394,-4557,481,956,,7,956000
940,-5611,438,938,,7,938000
698,-5697,526,965,,7,965000
545,-5373,598,853,,7,853000
650,-2182,568,961,,7,961000
266,-9310,470,416,,7,416000
875,-3668,638,974,,7,974000
414,-1690,393,852,,7,852000
301,-15914,617,335,,7,335000
320,-3920,451,911,,7,911000
1100,-5270,442,951,,7,951000
1300,-5576,568,818,,7,818000
877,-4027,393,911,,7,911000
502,-5822,730,781,,7,781000
462,-4329,674,867,,7,867000
264,-10133,614,474,,7,474000
1130,-6685,256,924,,7,924000
332,-6617,565,769,,7,769000
436,-9222,824,377,,7,377000
448,-2863,571,969,,7,969000
332,-6984,681,735,,7,735000
390,-7426,371,866,,7,866000
599,-3418,595,996,,7,996000
707,-11187,541,789,,7,789000
1170,-2640,112,978,,7,978000
399,-5834,419,775,,7,775000
401,-10328,376,399,,7,399000
398,-9011,499,797,,7,797000
618,-4172,538,867,,7,867000
686,-4673,471,944,,7,944000
263,-11218,553,362,,7,362000
548,-4514,293,822,,7,822000
295,-19316,617,60.8,,7,60800
386,-7760,516,651,,7,651000
367,-12307,567,717,,7,717000
452,-4852,545,931,,7,931000
405,-5854,666,535,,7,535000
319,-4642,578,755,,7,755000
2020,-3946,358,940,,7,940000
790,-5443,499,956,,7,956000
302,-15572,318,303,,7,303000
648,-3816,385,972,,7,972000
390,-17892,377,84.9,,7,84900
572,-5573,563,865,,7,865000
285,-5472,593,781,,7,781000
446,-5253,361,800,,7,800000
403,-4486,334,883,,7,883000
301,-9717,543,529,,7,529000
1100,-5270,442,951,,7,951000
567,-9266,733,498,,7,498000
274,-7883,562,324,,7,324000
361,-10833,632,800,,7,800000
1150,-3865,471,927,,7,927000
2420,-4561,511,934,,7,934000
447,-3435,598,906,,7,906000
803,-15269,621,524,,7,524000
806,-4228,520,856,,7,856000
391,-7748,466,763,,7,763000
399,-10524,776,467,,7,467000
1050,-5626,506,948,,7,948000
252,-3967,634,491,,7,491000
358,-5652,596,623,,7,623000
684,-3664,414,986,,7,986000
2310,-3665,481,944,,7,944000
354,-8142,730,650,,7,650000
284,-6189,465,517,,7,517000
601,-6035,458,878,,7,878000
1240,-3623,531,950,,7,950000
608,-3321,493,943,,7,943000
375,-7606,318,586,,7,586000
380,-8428,166,669,,7,669000
554,-3923,680,878,,7,878000
574,-4467,396,986,,7,986000
510,-6856,168,813,,7,813000
595,-5006,480,970,,7,970000
312,-8744,724,610,,7,610000
656,-4657,531,814,,7,814000
439,-6891,478,834,,7,834000
645,-10778,379,687,,7,687000
425,-10099,607,561,,7,561000
412,-8090,595,604,,7,604000
399,-6475,582,817,,7,817000
458,-3780,225,727,,7,727000
316,-8995,419,613,,7,613000
454,-5369,679,697,,7,697000
311,-8379,585,717,,7,717000
1900,-3156,373,994,,7,994000
280,-9684,652,609,,7,609000
2620,-3860,378,985,,7,985000
499,-9666,415,230,,7,230000
284,-10251,728,598,,7,598000
642,-7084,467,835,,7,835000
376,-10964,491,583,,7,583000
347,-4612,610,884,,7,884000
561,-4717,505,908,,7,908000
1090,-8414,691,748,,7,748000
338,-7226,310,821,,7,821000
479,-3910,403,934,,7,934000
290,-10057,307,433,,7,433000
944,-6900,761,525,,7,525000
791,-8777,337,762,,7,762000
329,-9205,617,579,,7,579000
589,-9267,636,616,,7,616000
435,-2512,452,876,,7,876000
806,-4228,520,856,,7,856000
339,-8161,407,841,,7,841000
1510,-1641,447,981,,7,981000
588,-4742,550,872,,7,872000
294,-9205,486,374,,7,374000
1100,-6291,226,955,,7,955000
742,-6870,566,835,,7,835000
317,-12875,623,614,,7,614000
648,-3816,385,972,,7,972000
308,-6781,549,502,,7,502000
463,-3179,361,937,,7,937000
458,-16557,405,280,,7,280000
441,-3801,352,571,,7,571000
473,-4730,564,801,,7,801000
578,-9329,632,786,,7,786000
1190,-7316,692,497,,7,497000
320,-7759,452,830,,7,830000
522,-5173,511,930,,7,930000
663,-3603,530,973,,7,973000
367,-5541,413,881,,7,881000
886,-7049,200,869,,7,869000
371,-8111,665,458,,7,458000
443,-9064,620,878,,7,878000
1210,-13643,349,762,,7,762000
694,-5262,493,961,,7,961000
563,-5201,390,830,,7,830000
580,-6167,331,885,,7,885000
1140,-3790,660,835,,7,835000
402,-8046,240,863,,7,863000
344,-7227,462,855,,7,855000
249,-7524,558,678,,7,678000
317,-8113,621,897,,7,897000
913,-4243,528,908,,7,908000
292,-6162,477,670,,7,670000
