speechiness,loudness,danceability,target
1020,-6679,398,1
248,-5710,596,1
406,-15870,474,1
439,-6470,680,1
312,-6912,489,1
384,-12590,684,1
295,-6385,536,1
1350,-10854,266,1
615,-6760,398,1
779,-5551,672,1
992,-4850,320,1
282,-10131,618,1
535,-4390,535,1
757,-1574,492,1
669,-15327,708,1
348,-27538,181,1
323,-7596,548,1
336,-12946,410,1
2990,-13649,512,1
427,-4364,631,1
1470,-3090,441,1
430,-5338,443,1
255,-5436,566,1
669,-4636,447,1
377,-7137,580,1
262,-5552,607,1
651,-6761,166,1
369,-15931,546,1
1710,-8214,345,1
479,-9152,489,1
762,-3942,392,1
581,-4497,852,1
1090,-3436,385,1
570,-4907,509,1
387,-10356,883,1
1020,-4288,490,1
390,-5961,577,1
328,-13371,506,1
276,-6490,582,1
623,-4152,477,1
1240,-3894,924,1
367,-10942,521,1
747,-5230,352,1
1420,-3553,161,1
312,-5623,659,1
700,-6872,581,1
2900,-5563,627,1
326,-13664,310,1
461,-5053,633,1
311,-7085,780,1
445,-9677,370,1
598,-5604,489,1
784,-5961,779,1
666,-7780,502,1
356,-4190,535,1
393,-7455,619,1
275,-7064,694,1
2800,-2930,552,1
434,-10128,883,1
288,-6934,725,1
2230,-8584,469,1
343,-23906,201,1
390,-6163,618,1
735,-10795,785,1
391,-9531,603,1
407,-9760,502,1
415,-8139,693,1
284,-3605,722,1
1020,-4288,490,1
1320,-2130,364,1
841,-4245,447,1
320,-7305,598,1
271,-8269,671,1
270,-8153,792,1
517,-5852,605,1
588,-4350,553,1
325,-12437,523,1
364,-4151,552,1
1090,-4238,210,1
320,-10437,688,1
1510,-7157,776,1
562,-8937,675,1
332,-9690,721,1
301,-10270,603,1
464,-5826,498,1
685,-9478,408,1
423,-9564,358,1
596,-11925,329,1
268,-7343,462,1
367,-7058,710,1
281,-5377,654,1
311,-5452,533,1
402,-9182,610,1
840,-5590,460,1
488,-4758,520,1
380,-3524,489,1
277,-8049,674,1
365,-8329,805,1
663,-4559,557,1
377,-8592,613,1
463,-6787,263,1
731,-5002,368,1
818,-9303,773,1
2170,-6021,727,1
605,-12242,576,1
257,-6361,590,1
482,-4450,698,1
444,-4555,920,1
954,-4365,422,1
406,-6266,517,1
326,-18612,156,1
500,-4651,358,1
242,-7105,542,1
784,-5533,371,1
370,-10005,425,1
565,-7620,763,1
323,-9852,835,1
316,-5942,580,1
341,-9946,191,1
1270,-2371,462,1
365,-10855,693,1
1230,-5683,383,1
1550,-4224,411,1
980,-5297,401,1
305,-7135,582,1
314,-9424,439,1
274,-9536,511,1
462,-10888,740,1
339,-13138,581,1
405,-5763,596,1
428,-3124,415,1
811,-7937,676,1
488,-8334,367,1
298,-4848,686,1
991,-5237,399,1
840,-1700,300,1
454,-6469,621,1
425,-8685,697,1
324,-9171,567,1
284,-3605,722,1
620,-4963,327,1
501,-9782,687,1
934,-9431,704,1
2100,-8906,770,1
1830,-4582,792,1
293,-6437,494,1
796,-11494,330,1
359,-3323,652,1
1010,-4854,510,1
244,-8955,636,1
434,-6130,424,1
335,-6537,546,1
510,-5502,713,1
863,-7165,236,1
347,-7144,543,1
407,-9357,881,1
535,-11020,806,1
403,-7533,746,1
1460,-4866,696,1
482,-4450,698,1
762,-4939,229,1
857,-10469,378,1
384,-16843,121,1
608,-4960,572,1
760,-12683,311,1
439,-8124,452,1
418,-5196,533,1
417,-7612,536,1
600,-8089,363,1
1970,-14699,208,1
369,-7327,414,1
1450,-12049,458,1
700,-3335,240,1
467,-7686,725,1
