3.18,-14.131,53.7,376,96000000,1,,,
14.4,-6.501,32.5,838,3270000,1,,,
2.93,-9.956,51.7,432,44900000,1,,,
30.1,-7.509,78.2,706,31700000,1,,,
5.49,-14.173,47.7,615,369000,1,,,
3.13,-4.413,72,747,20400000,1,,,
4.22,-6.069,28.4,875,752000,1,,,
7.27,-7.999,26.7,734,186000,1,,,
6.57,-7.57,74.5,572,578000,1,,,
2.95,-10.156,51.3,640,13300,1,,,
4.58,-24.913,34.5,56.2,97900000,1,,,
4.83,-5.986,66.8,645,1310000,1,,,
2.58,-5.448,67.8,702,3400000,1,,,
12.4,-8.764,47.9,442,85800000,1,,,
12.2,-3.204,46.3,926,5550000,1,,,
9.96,-10.668,68.1,436,17000000,1,,,
8.45,-3.933,73.8,607,743000,1,,,
